ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV_043943,Eukaryota,Arthropoda,,,,,
ESV_043865,Eukaryota,Oomycota,unk_class,Peronosporales,Peronosporaceae,Phytophthora,
ESV_043889,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,,,
ESV_043902,Eukaryota,,,,,,
ESV_043892,Eukaryota,Porifera,Demospongiae,,,,
ESV_043869,Eukaryota,,,,,,
ESV_043891,Eukaryota,Picozoa,,,,,
ESV_043872,Eukaryota,,,,,,
ESV_043870,Eukaryota,Bacillariophyta,,,,,
ESV_043843,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia lagenifera
ESV_043845,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia lagenifera
ESV_043901,Eukaryota,,,,,,
ESV_043903,Eukaryota,unk_phylum,Phaeophyceae,Fucales,Sargassaceae,Stephanocystis,Stephanocystis osmundacea
ESV_036370,Eukaryota,Oomycota,,,,,
ESV_027412,Eukaryota,Porifera,Demospongiae,,,,
ESV_043864,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
ESV_043868,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043844,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Rhynchobrunnera,Rhynchobrunnera orthospora
ESV_043761,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_036349,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043810,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043762,Eukaryota,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis alternata CMC04
ESV_028017,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043825,Eukaryota,,,,,,
ESV_023360,Eukaryota,Arthropoda,Insecta,,,,
ESV_043823,Eukaryota,Phoronida,,,,,
ESV_043824,Eukaryota,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis sp. CMC01
ESV_043754,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043745,Eukaryota,Chlorophyta,unk_class,unk_order,Pycnococcaceae,,
ESV_043746,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043687,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Clenchiellidae,,
